订单号,商品ID,商品名,品牌,类别,规格,单价,数量,总价,下单时间
98232020090002,700010,麻辣味口香糖,开口哭牌,零食,200克,20,1,20,2020-09-01 07:02:11
98232020090003,700005,蟹黄味口香糖,开口哭牌,零食,100克,15,1,15,2020-09-01 10:55:54
98232020090004,700016,夏夜雨可乐,君再来牌,饮料,550毫升,5,1,5,2020-09-01 12:14:53
98232020090005,700014,有点酸可乐,君再来牌,饮料,550毫升,5,5,25,2020-09-01 14:26:34
98232020090006,700007,猕猴桃味薯片,开口哭牌,零食,200克,20,2,40,2020-09-01 15:41:56
98232020090007,700009,芹菜味薯片,开口哭牌,零食,200克,20,10,200,2020-09-01 17:50:35
98232020090008,700002,榴莲味口香糖,开口哭牌,零食,100克,15,1,15,2020-09-01 18:15:03
98232020090009,700001,猕猴桃味口香糖,开口哭牌,零食,100克,15,1,15,2020-09-02 07:13:03
98232020090010,700013,火龙果可乐,君再来牌,饮料,550毫升,5,1,5,2020-09-02 09:53:39
98232020090011,700011,蟹黄味薯片,开口哭牌,零食,200克,20,2,40,2020-09-02 11:19:46
98232020090012,700015,青草味可乐,君再来牌,饮料,550毫升,5,1,5,2020-09-02 11:54:05
98232020090013,700006,没有一点味口香糖,开口哭牌,零食,100克,15,2,30,2020-09-02 14:21:36
98232020090014,700005,蟹黄味口香糖,开口哭牌,零食,100克,15,1,15,2020-09-02 16:10:33
98232020090015,700009,芹菜味薯片,开口哭牌,零食,200克,20,2,40,2020-09-02 17:35:11
98232020090016,700011,蟹黄味薯片,开口哭牌,零食,200克,20,1,20,2020-09-02 19:05:31
98232020090017,700004,麻辣味口香糖,开口哭牌,零食,100克,15,1,15,2020-09-02 20:10:02
98232020090018,700006,没有一点味口香糖,开口哭牌,零食,100克,15,1,15,2020-09-02 20:20:18
98232020090019,700017,根本就是酒无糖可乐,君再来牌,饮料,550毫升,5,1,5,2020-09-02 20:42:22
98232020090020,700011,蟹黄味薯片,开口哭牌,零食,200克,20,1,20,2020-09-02 21:58:02
98232020090021,700015,青草味可乐,君再来牌,饮料,550毫升,5,5,25,2020-09-03 07:43:35
98232020090022,700008,榴莲味薯片,开口哭牌,零食,200克,20,1,20,2020-09-03 07:54:06
98232020090023,700002,榴莲味口香糖,开口哭牌,零食,100克,15,1,15,2020-09-03 07:58:31
98232020090024,700004,麻辣味口香糖,开口哭牌,零食,100克,15,1,15,2020-09-03 08:33:11
98232020090025,700016,夏夜雨可乐,君再来牌,饮料,550毫升,5,1,5,2020-09-03 11:20:44
98232020090026,700002,榴莲味口香糖,开口哭牌,零食,100克,15,5,75,2020-09-03 13:46:27
98232020090027,700007,猕猴桃味薯片,开口哭牌,零食,200克,20,5,100,2020-09-03 14:51:28
98232020090028,700002,榴莲味口香糖,开口哭牌,零食,100克,15,1,15,2020-09-03 15:21:19
98232020090029,700008,榴莲味薯片,开口哭牌,零食,200克,20,10,200,2020-09-03 16:05:27
98232020090030,700017,根本就是酒无糖可乐,君再来牌,饮料,550毫升,5,1,5,2020-09-03 17:44:29
98232020090031,700006,没有一点味口香糖,开口哭牌,零食,100克,15,1,15,2020-09-03 19:14:44
98232020090032,700005,蟹黄味口香糖,开口哭牌,零食,100克,15,1,15,2020-09-03 22:16:16
98232020090033,700006,没有一点味口香糖,开口哭牌,零食,100克,15,1,15,2020-09-03 22:23:45
98232020090034,700015,青草味可乐,君再来牌,饮料,550毫升,5,5,25,2020-09-04 07:27:56
