订单号,商品ID,商品名,品牌,类别,规格,单价,数量,总价,下单时间
98232020030002,700002,榴莲味口香糖,开口哭牌,零食,100克,15,2,30,2020-03-01 07:10:09
98232020030003,700004,麻辣味口香糖,开口哭牌,零食,100克,15,2,30,2020-03-01 07:36:26
98232020030004,700012,没有一点味薯片,开口哭牌,零食,200克,20,2,40,2020-03-01 08:48:57
98232020030005,700014,有点酸可乐,君再来牌,饮料,550毫升,5,2,10,2020-03-01 10:45:09
98232020030006,700016,夏夜雨可乐,君再来牌,饮料,550毫升,5,1,5,2020-03-01 11:37:18
98232020030007,700007,猕猴桃味薯片,开口哭牌,零食,200克,20,1,20,2020-03-01 11:40:04
98232020030008,700012,没有一点味薯片,开口哭牌,零食,200克,20,1,20,2020-03-01 12:12:31
98232020030009,700014,有点酸可乐,君再来牌,饮料,550毫升,5,1,5,2020-03-01 13:51:27
98232020030010,700001,猕猴桃味口香糖,开口哭牌,零食,100克,15,2,30,2020-03-01 14:35:49
98232020030011,700002,榴莲味口香糖,开口哭牌,零食,100克,15,1,15,2020-03-01 16:47:59
98232020030012,700012,没有一点味薯片,开口哭牌,零食,200克,20,1,20,2020-03-02 07:09:37
98232020030013,700013,火龙果可乐,君再来牌,饮料,550毫升,5,2,10,2020-03-02 08:19:15
98232020030014,700007,猕猴桃味薯片,开口哭牌,零食,200克,20,2,40,2020-03-02 10:30:15
98232020030015,700011,蟹黄味薯片,开口哭牌,零食,200克,20,10,200,2020-03-02 10:40:09
98232020030016,700009,芹菜味薯片,开口哭牌,零食,200克,20,5,100,2020-03-02 11:51:22
98232020030017,700014,有点酸可乐,君再来牌,饮料,550毫升,5,1,5,2020-03-02 11:53:38
98232020030018,700006,没有一点味口香糖,开口哭牌,零食,100克,15,1,15,2020-03-02 13:12:14
98232020030019,700007,猕猴桃味薯片,开口哭牌,零食,200克,20,1,20,2020-03-02 17:53:34
98232020030020,700013,火龙果可乐,君再来牌,饮料,550毫升,5,1,5,2020-03-02 20:35:04
98232020030021,700012,没有一点味薯片,开口哭牌,零食,200克,20,10,200,2020-03-02 22:19:33
98232020030022,700012,没有一点味薯片,开口哭牌,零食,200克,20,1,20,2020-03-02 22:55:25
98232020030023,700016,夏夜雨可乐,君再来牌,饮料,550毫升,5,1,5,2020-03-02 23:15:26
98232020030024,700014,有点酸可乐,君再来牌,饮料,550毫升,5,1,5,2020-03-03 07:09:08
98232020030025,700010,麻辣味口香糖,开口哭牌,零食,200克,20,1,20,2020-03-03 07:31:38
98232020030026,700006,没有一点味口香糖,开口哭牌,零食,100克,15,1,15,2020-03-03 09:23:42
98232020030027,700001,猕猴桃味口香糖,开口哭牌,零食,100克,15,1,15,2020-03-03 10:32:44
98232020030028,700009,芹菜味薯片,开口哭牌,零食,200克,20,1,20,2020-03-03 11:56:03
98232020030029,700012,没有一点味薯片,开口哭牌,零食,200克,20,1,20,2020-03-03 13:57:06
98232020030030,700013,火龙果可乐,君再来牌,饮料,550毫升,5,1,5,2020-03-03 14:58:00
98232020030031,700005,蟹黄味口香糖,开口哭牌,零食,100克,15,1,15,2020-03-03 16:25:57
98232020030032,700013,火龙果可乐,君再来牌,饮料,550毫升,5,1,5,2020-03-03 17:04:11
98232020030033,700006,没有一点味口香糖,开口哭牌,零食,100克,15,1,15,2020-03-03 17:11:51
