订单号,商品ID,商品名,品牌,类别,规格,单价,数量,总价,下单时间
98232020020002,700010,麻辣味口香糖,开口哭牌,零食,200克,20,1,20,2020-02-01 14:45:59
98232020020003,700010,麻辣味口香糖,开口哭牌,零食,200克,20,1,20,2020-02-01 15:21:53
98232020020004,700013,火龙果可乐,君再来牌,饮料,550毫升,5,1,5,2020-02-01 16:49:57
98232020020005,700010,麻辣味口香糖,开口哭牌,零食,200克,20,1,20,2020-02-01 22:05:34
98232020020006,700003,芹菜味口香糖,开口哭牌,零食,100克,15,1,15,2020-02-01 22:20:28
98232020020007,700012,没有一点味薯片,开口哭牌,零食,200克,20,1,20,2020-02-01 23:03:27
98232020020008,700015,青草味可乐,君再来牌,饮料,550毫升,5,5,25,2020-02-02 09:04:25
98232020020009,700012,没有一点味薯片,开口哭牌,零食,200克,20,1,20,2020-02-02 11:08:58
98232020020010,700010,麻辣味口香糖,开口哭牌,零食,200克,20,1,20,2020-02-02 11:24:40
98232020020011,700007,猕猴桃味薯片,开口哭牌,零食,200克,20,1,20,2020-02-02 12:07:06
98232020020012,700006,没有一点味口香糖,开口哭牌,零食,100克,15,1,15,2020-02-02 12:44:53
98232020020013,700009,芹菜味薯片,开口哭牌,零食,200克,20,1,20,2020-02-02 14:28:09
98232020020014,700002,榴莲味口香糖,开口哭牌,零食,100克,15,1,15,2020-02-02 17:06:46
98232020020015,700009,芹菜味薯片,开口哭牌,零食,200克,20,1,20,2020-02-02 17:53:09
98232020020016,700015,青草味可乐,君再来牌,饮料,550毫升,5,1,5,2020-02-02 18:35:48
98232020020017,700009,芹菜味薯片,开口哭牌,零食,200克,20,1,20,2020-02-02 19:38:20
98232020020018,700014,有点酸可乐,君再来牌,饮料,550毫升,5,1,5,2020-02-02 19:48:53
98232020020019,700006,没有一点味口香糖,开口哭牌,零食,100克,15,1,15,2020-02-02 20:15:59
98232020020020,700014,有点酸可乐,君再来牌,饮料,550毫升,5,2,10,2020-02-02 20:21:23
98232020020021,700009,芹菜味薯片,开口哭牌,零食,200克,20,1,20,2020-02-02 21:25:42
98232020020022,700014,有点酸可乐,君再来牌,饮料,550毫升,5,1,5,2020-02-02 22:08:07
98232020020023,700007,猕猴桃味薯片,开口哭牌,零食,200克,20,1,20,2020-02-03 09:53:56
98232020020024,700006,没有一点味口香糖,开口哭牌,零食,100克,15,1,15,2020-02-03 11:18:14
98232020020025,700011,蟹黄味薯片,开口哭牌,零食,200克,20,1,20,2020-02-03 13:11:45
98232020020026,700006,没有一点味口香糖,开口哭牌,零食,100克,15,1,15,2020-02-03 14:15:58
98232020020027,700017,根本就是酒无糖可乐,君再来牌,饮料,550毫升,5,1,5,2020-02-03 14:21:35
98232020020028,700007,猕猴桃味薯片,开口哭牌,零食,200克,20,1,20,2020-02-03 14:39:45
98232020020029,700008,榴莲味薯片,开口哭牌,零食,200克,20,1,20,2020-02-03 14:46:21
98232020020030,700009,芹菜味薯片,开口哭牌,零食,200克,20,1,20,2020-02-03 16:56:10
98232020020031,700016,夏夜雨可乐,君再来牌,饮料,550毫升,5,1,5,2020-02-03 17:24:56
98232020020032,700008,榴莲味薯片,开口哭牌,零食,200克,20,2,40,2020-02-03 18:19:33
98232020020033,700010,麻辣味口香糖,开口哭牌,零食,200克,20,1,20,2020-02-03 21:15:44
98232020020034,700009,芹菜味薯片,开口哭牌,零食,200克,20,1,20,2020-02-03 22:19:49
98232020020035,700015,青草味可乐,君再来牌,饮料,550毫升,5,1,5,2020-02-03 22:26:25
98232020020036,700011,蟹黄味薯片,开口哭牌,零食,200克,20,1,20,2020-02-04 07:34:53
98232020020037,700005,蟹黄味口香糖,开口哭牌,零食,100克,15,1,15,2020-02-04 07:35:38
98232020020038,700006,没有一点味口香糖,开口哭牌,零食,100克,15,1,15,2020-02-04 07:43:56
98232020020039,700014,有点酸可乐,君再来牌,饮料,550毫升,5,1,5,2020-02-04 08:08:15
98232020020040,700013,火龙果可乐,君再来牌,饮料,550毫升,5,1,5,2020-02-04 08:23:19
98232020020041,700005,蟹黄味口香糖,开口哭牌,零食,100克,15,5,75,2020-02-04 11:13:44
98232020020042,700010,麻辣味口香糖,开口哭牌,零食,200克,20,1,20,2020-02-04 13:17:14
