订单号,商品ID,商品名,品牌,类别,规格,单价,数量,总价,下单时间
98232019110002,700011,蟹黄味薯片,开口哭牌,零食,200克,20,2,40,2019-11-01 09:25:02
98232019110003,700011,蟹黄味薯片,开口哭牌,零食,200克,20,1,20,2019-11-01 10:28:49
98232019110004,700001,猕猴桃味口香糖,开口哭牌,零食,100克,15,5,75,2019-11-01 12:07:16
98232019110005,700009,芹菜味薯片,开口哭牌,零食,200克,20,2,40,2019-11-01 12:42:40
98232019110006,700009,芹菜味薯片,开口哭牌,零食,200克,20,1,20,2019-11-01 14:02:08
98232019110007,700003,芹菜味口香糖,开口哭牌,零食,100克,15,2,30,2019-11-01 21:33:41
98232019110008,700001,猕猴桃味口香糖,开口哭牌,零食,100克,15,1,15,2019-11-01 23:49:47
98232019110009,700013,火龙果可乐,君再来牌,饮料,550毫升,5,1,5,2019-11-02 07:04:36
98232019110010,700008,榴莲味薯片,开口哭牌,零食,200克,20,1,20,2019-11-02 08:03:04
98232019110011,700013,火龙果可乐,君再来牌,饮料,550毫升,5,1,5,2019-11-02 08:21:15
98232019110012,700017,根本就是酒无糖可乐,君再来牌,饮料,550毫升,5,10,50,2019-11-02 10:52:31
98232019110013,700013,火龙果可乐,君再来牌,饮料,550毫升,5,1,5,2019-11-02 10:52:47
98232019110014,700014,有点酸可乐,君再来牌,饮料,550毫升,5,10,50,2019-11-02 11:14:51
98232019110015,700011,蟹黄味薯片,开口哭牌,零食,200克,20,1,20,2019-11-02 12:06:03
98232019110016,700007,猕猴桃味薯片,开口哭牌,零食,200克,20,2,40,2019-11-02 12:28:47
98232019110017,700014,有点酸可乐,君再来牌,饮料,550毫升,5,1,5,2019-11-02 13:33:52
98232019110018,700008,榴莲味薯片,开口哭牌,零食,200克,20,1,20,2019-11-02 16:51:14
98232019110019,700015,青草味可乐,君再来牌,饮料,550毫升,5,1,5,2019-11-02 17:41:50
98232019110020,700014,有点酸可乐,君再来牌,饮料,550毫升,5,1,5,2019-11-02 17:43:24
98232019110021,700011,蟹黄味薯片,开口哭牌,零食,200克,20,5,100,2019-11-02 18:14:39
98232019110022,700017,根本就是酒无糖可乐,君再来牌,饮料,550毫升,5,1,5,2019-11-02 18:40:39
98232019110023,700006,没有一点味口香糖,开口哭牌,零食,100克,15,5,75,2019-11-02 19:47:45
98232019110024,700006,没有一点味口香糖,开口哭牌,零食,100克,15,5,75,2019-11-02 22:48:17
98232019110025,700001,猕猴桃味口香糖,开口哭牌,零食,100克,15,1,15,2019-11-02 23:02:36
98232019110026,700016,夏夜雨可乐,君再来牌,饮料,550毫升,5,1,5,2019-11-02 23:16:52
98232019110027,700015,青草味可乐,君再来牌,饮料,550毫升,5,1,5,2019-11-03 08:00:20
98232019110028,700017,根本就是酒无糖可乐,君再来牌,饮料,550毫升,5,1,5,2019-11-03 09:33:47
98232019110029,700016,夏夜雨可乐,君再来牌,饮料,550毫升,5,1,5,2019-11-03 09:48:20
