订单号,商品ID,商品名,品牌,类别,规格,单价,数量,总价,下单时间
98232020060002,700009,芹菜味薯片,开口哭牌,零食,200克,20,1,20,2020-06-01 09:58:08
98232020060003,700016,夏夜雨可乐,君再来牌,饮料,550毫升,5,1,5,2020-06-01 13:33:07
98232020060004,700008,榴莲味薯片,开口哭牌,零食,200克,20,5,100,2020-06-01 15:31:32
98232020060005,700007,猕猴桃味薯片,开口哭牌,零食,200克,20,1,20,2020-06-01 15:32:14
98232020060006,700014,有点酸可乐,君再来牌,饮料,550毫升,5,2,10,2020-06-01 15:33:58
98232020060007,700003,芹菜味口香糖,开口哭牌,零食,100克,15,1,15,2020-06-01 16:28:34
98232020060008,700001,猕猴桃味口香糖,开口哭牌,零食,100克,15,1,15,2020-06-01 16:48:24
98232020060009,700013,火龙果可乐,君再来牌,饮料,550毫升,5,1,5,2020-06-01 19:12:04
98232020060010,700013,火龙果可乐,君再来牌,饮料,550毫升,5,1,5,2020-06-01 20:02:45
98232020060011,700006,没有一点味口香糖,开口哭牌,零食,100克,15,1,15,2020-06-01 20:04:52
98232020060012,700004,麻辣味口香糖,开口哭牌,零食,100克,15,1,15,2020-06-02 07:53:04
98232020060013,700008,榴莲味薯片,开口哭牌,零食,200克,20,1,20,2020-06-02 11:03:49
98232020060014,700001,猕猴桃味口香糖,开口哭牌,零食,100克,15,1,15,2020-06-02 12:29:37
98232020060015,700006,没有一点味口香糖,开口哭牌,零食,100克,15,1,15,2020-06-02 12:38:58
98232020060016,700015,青草味可乐,君再来牌,饮料,550毫升,5,1,5,2020-06-02 12:58:46
98232020060017,700010,麻辣味口香糖,开口哭牌,零食,200克,20,1,20,2020-06-02 13:37:51
98232020060018,700001,猕猴桃味口香糖,开口哭牌,零食,100克,15,1,15,2020-06-02 13:59:05
98232020060019,700002,榴莲味口香糖,开口哭牌,零食,100克,15,1,15,2020-06-02 14:09:23
98232020060020,700007,猕猴桃味薯片,开口哭牌,零食,200克,20,1,20,2020-06-02 14:10:59
98232020060021,700002,榴莲味口香糖,开口哭牌,零食,100克,15,1,15,2020-06-02 19:29:42
98232020060022,700012,没有一点味薯片,开口哭牌,零食,200克,20,1,20,2020-06-03 11:19:19
98232020060023,700012,没有一点味薯片,开口哭牌,零食,200克,20,1,20,2020-06-03 13:16:28
98232020060024,700004,麻辣味口香糖,开口哭牌,零食,100克,15,1,15,2020-06-03 15:11:22
98232020060025,700017,根本就是酒无糖可乐,君再来牌,饮料,550毫升,5,1,5,2020-06-03 18:40:21
98232020060026,700015,青草味可乐,君再来牌,饮料,550毫升,5,1,5,2020-06-03 20:10:19
98232020060027,700011,蟹黄味薯片,开口哭牌,零食,200克,20,1,20,2020-06-03 20:45:12
98232020060028,700001,猕猴桃味口香糖,开口哭牌,零食,100克,15,2,30,2020-06-03 23:37:32
98232020060029,700016,夏夜雨可乐,君再来牌,饮料,550毫升,5,1,5,2020-06-04 09:31:25
98232020060030,700011,蟹黄味薯片,开口哭牌,零食,200克,20,1,20,2020-06-04 10:13:51
98232020060031,700017,根本就是酒无糖可乐,君再来牌,饮料,550毫升,5,1,5,2020-06-04 11:56:31
98232020060032,700012,没有一点味薯片,开口哭牌,零食,200克,20,1,20,2020-06-04 14:16:37
98232020060033,700006,没有一点味口香糖,开口哭牌,零食,100克,15,1,15,2020-06-04 16:05:46
98232020060034,700002,榴莲味口香糖,开口哭牌,零食,100克,15,1,15,2020-06-04 17:30:55
98232020060035,700011,蟹黄味薯片,开口哭牌,零食,200克,20,1,20,2020-06-04 17:32:08
98232020060036,700005,蟹黄味口香糖,开口哭牌,零食,100克,15,1,15,2020-06-04 18:00:37
98232020060037,700006,没有一点味口香糖,开口哭牌,零食,100克,15,1,15,2020-06-04 19:13:58
98232020060038,700016,夏夜雨可乐,君再来牌,饮料,550毫升,5,1,5,2020-06-04 20:04:34
98232020060039,700012,没有一点味薯片,开口哭牌,零食,200克,20,1,20,2020-06-04 20:42:13
98232020060040,700011,蟹黄味薯片,开口哭牌,零食,200克,20,1,20,2020-06-04 21:31:48
98232020060041,700014,有点酸可乐,君再来牌,饮料,550毫升,5,1,5,2020-06-04 22:04:58
