订单号,商品ID,商品名,品牌,类别,规格,单价,数量,总价,下单时间
98232019060002,700009,芹菜味薯片,开口哭牌,零食,200克,20,1,20,2019-06-01 09:58:08
98232019060003,700016,夏夜雨可乐,君再来牌,饮料,550毫升,5,1,5,2019-06-01 13:33:07
98232019060004,700008,榴莲味薯片,开口哭牌,零食,200克,20,5,100,2019-06-01 15:31:32
98232019060005,700007,猕猴桃味薯片,开口哭牌,零食,200克,20,1,20,2019-06-01 15:32:14
98232019060006,700014,有点酸可乐,君再来牌,饮料,550毫升,5,2,10,2019-06-01 15:33:58
98232019060007,700003,芹菜味口香糖,开口哭牌,零食,100克,15,1,15,2019-06-01 16:28:34
98232019060008,700001,猕猴桃味口香糖,开口哭牌,零食,100克,15,1,15,2019-06-01 16:48:24
98232019060009,700013,火龙果可乐,君再来牌,饮料,550毫升,5,1,5,2019-06-01 19:12:04
98232019060010,700013,火龙果可乐,君再来牌,饮料,550毫升,5,1,5,2019-06-01 20:02:45
98232019060011,700006,没有一点味口香糖,开口哭牌,零食,100克,15,1,15,2019-06-01 20:04:52
98232019060012,700004,麻辣味口香糖,开口哭牌,零食,100克,15,1,15,2019-06-02 07:53:04
98232019060013,700008,榴莲味薯片,开口哭牌,零食,200克,20,1,20,2019-06-02 11:03:49
98232019060014,700001,猕猴桃味口香糖,开口哭牌,零食,100克,15,1,15,2019-06-02 12:29:37
98232019060015,700006,没有一点味口香糖,开口哭牌,零食,100克,15,1,15,2019-06-02 12:38:58
98232019060016,700015,青草味可乐,君再来牌,饮料,550毫升,5,1,5,2019-06-02 12:58:46
98232019060017,700010,麻辣味口香糖,开口哭牌,零食,200克,20,1,20,2019-06-02 13:37:51
98232019060018,700001,猕猴桃味口香糖,开口哭牌,零食,100克,15,1,15,2019-06-02 13:59:05
98232019060019,700002,榴莲味口香糖,开口哭牌,零食,100克,15,1,15,2019-06-02 14:09:23
98232019060020,700007,猕猴桃味薯片,开口哭牌,零食,200克,20,1,20,2019-06-02 14:10:59
98232019060021,700002,榴莲味口香糖,开口哭牌,零食,100克,15,1,15,2019-06-02 19:29:42
98232019060022,700012,没有一点味薯片,开口哭牌,零食,200克,20,1,20,2019-06-03 11:19:19
98232019060023,700012,没有一点味薯片,开口哭牌,零食,200克,20,1,20,2019-06-03 13:16:28
98232019060024,700004,麻辣味口香糖,开口哭牌,零食,100克,15,1,15,2019-06-03 15:11:22
98232019060025,700017,根本就是酒无糖可乐,君再来牌,饮料,550毫升,5,1,5,2019-06-03 18:40:21
98232019060026,700015,青草味可乐,君再来牌,饮料,550毫升,5,1,5,2019-06-03 20:10:19
98232019060027,700011,蟹黄味薯片,开口哭牌,零食,200克,20,1,20,2019-06-03 20:45:12
98232019060028,700001,猕猴桃味口香糖,开口哭牌,零食,100克,15,2,30,2019-06-03 23:37:32
98232019060029,700016,夏夜雨可乐,君再来牌,饮料,550毫升,5,1,5,2019-06-04 09:31:25
98232019060030,700011,蟹黄味薯片,开口哭牌,零食,200克,20,1,20,2019-06-04 10:13:51
98232019060031,700017,根本就是酒无糖可乐,君再来牌,饮料,550毫升,5,1,5,2019-06-04 11:56:31
98232019060032,700012,没有一点味薯片,开口哭牌,零食,200克,20,1,20,2019-06-04 14:16:37
98232019060033,700006,没有一点味口香糖,开口哭牌,零食,100克,15,1,15,2019-06-04 16:05:46
98232019060034,700002,榴莲味口香糖,开口哭牌,零食,100克,15,1,15,2019-06-04 17:30:55
98232019060035,700011,蟹黄味薯片,开口哭牌,零食,200克,20,1,20,2019-06-04 17:32:08
98232019060036,700005,蟹黄味口香糖,开口哭牌,零食,100克,15,1,15,2019-06-04 18:00:37
98232019060037,700006,没有一点味口香糖,开口哭牌,零食,100克,15,1,15,2019-06-04 19:13:58
98232019060038,700016,夏夜雨可乐,君再来牌,饮料,550毫升,5,1,5,2019-06-04 20:04:34
98232019060039,700012,没有一点味薯片,开口哭牌,零食,200克,20,1,20,2019-06-04 20:42:13
98232019060040,700011,蟹黄味薯片,开口哭牌,零食,200克,20,1,20,2019-06-04 21:31:48
98232019060041,700014,有点酸可乐,君再来牌,饮料,550毫升,5,1,5,2019-06-04 22:04:58
98232019060042,700009,芹菜味薯片,开口哭牌,零食,200克,20,1,20,2019-06-04 22:07:39
98232019060043,700015,青草味可乐,君再来牌,饮料,550毫升,5,5,25,2019-06-04 23:06:12
98232019060044,700011,蟹黄味薯片,开口哭牌,零食,200克,20,1,20,2019-06-04 23:59:43
98232019060045,700002,榴莲味口香糖,开口哭牌,零食,100克,15,1,15,2019-06-05 07:35:00
98232019060046,700005,蟹黄味口香糖,开口哭牌,零食,100克,15,1,15,2019-06-05 08:24:46
98232019060047,700008,榴莲味薯片,开口哭牌,零食,200克,20,1,20,2019-06-05 11:28:06
98232019060048,700014,有点酸可乐,君再来牌,饮料,550毫升,5,1,5,2019-06-05 12:29:48
98232019060049,700007,猕猴桃味薯片,开口哭牌,零食,200克,20,1,20,2019-06-05 13:00:25
98232019060050,700004,麻辣味口香糖,开口哭牌,零食,100克,15,1,15,2019-06-05 13:33:10
98232019060051,700017,根本就是酒无糖可乐,君再来牌,饮料,550毫升,5,1,5,2019-06-05 16:09:16
98232019060052,700008,榴莲味薯片,开口哭牌,零食,200克,20,1,20,2019-06-05 16:36:16
98232019060053,700004,麻辣味口香糖,开口哭牌,零食,100克,15,1,15,2019-06-05 17:49:50
98232019060054,700010,麻辣味口香糖,开口哭牌,零食,200克,20,10,200,2019-06-05 18:46:55
98232019060055,700013,火龙果可乐,君再来牌,饮料,550毫升,5,2,10,2019-06-05 18:54:38
98232019060056,700013,火龙果可乐,君再来牌,饮料,550毫升,5,2,10,2019-06-05 22:28:38
98232019060057,700002,榴莲味口香糖,开口哭牌,零食,100克,15,1,15,2019-06-06 08:57:35
98232019060058,700002,榴莲味口香糖,开口哭牌,零食,100克,15,1,15,2019-06-06 09:46:30
98232019060059,700004,麻辣味口香糖,开口哭牌,零食,100克,15,1,15,2019-06-06 10:20:54
