订单号,商品ID,商品名,品牌,类别,规格,单价,数量,总价,下单时间
98232019080002,700015,青草味可乐,君再来牌,饮料,550毫升,5,1,5,2019-08-01 08:19:32
98232019080003,700003,芹菜味口香糖,开口哭牌,零食,100克,15,2,30,2019-08-01 08:19:54
98232019080004,700015,青草味可乐,君再来牌,饮料,550毫升,5,5,25,2019-08-01 08:39:10
98232019080005,700016,夏夜雨可乐,君再来牌,饮料,550毫升,5,1,5,2019-08-01 09:22:18
98232019080006,700012,没有一点味薯片,开口哭牌,零食,200克,20,1,20,2019-08-01 14:27:15
98232019080007,700016,夏夜雨可乐,君再来牌,饮料,550毫升,5,1,5,2019-08-01 15:18:54
98232019080008,700012,没有一点味薯片,开口哭牌,零食,200克,20,1,20,2019-08-01 15:43:59
98232019080009,700006,没有一点味口香糖,开口哭牌,零食,100克,15,1,15,2019-08-01 16:19:00
98232019080010,700013,火龙果可乐,君再来牌,饮料,550毫升,5,5,25,2019-08-01 18:13:01
98232019080011,700001,猕猴桃味口香糖,开口哭牌,零食,100克,15,1,15,2019-08-01 19:05:56
98232019080012,700009,芹菜味薯片,开口哭牌,零食,200克,20,1,20,2019-08-01 22:24:17
98232019080013,700005,蟹黄味口香糖,开口哭牌,零食,100克,15,5,75,2019-08-01 22:59:49
98232019080014,700002,榴莲味口香糖,开口哭牌,零食,100克,15,2,30,2019-08-01 23:31:50
98232019080015,700017,根本就是酒无糖可乐,君再来牌,饮料,550毫升,5,1,5,2019-08-02 07:11:12
98232019080016,700017,根本就是酒无糖可乐,君再来牌,饮料,550毫升,5,1,5,2019-08-02 07:46:07
98232019080017,700002,榴莲味口香糖,开口哭牌,零食,100克,15,1,15,2019-08-02 08:12:48
98232019080018,700003,芹菜味口香糖,开口哭牌,零食,100克,15,1,15,2019-08-02 10:57:44
98232019080019,700005,蟹黄味口香糖,开口哭牌,零食,100克,15,1,15,2019-08-02 10:58:31
98232019080020,700004,麻辣味口香糖,开口哭牌,零食,100克,15,5,75,2019-08-02 14:08:45
98232019080021,700017,根本就是酒无糖可乐,君再来牌,饮料,550毫升,5,1,5,2019-08-02 15:53:57
98232019080022,700010,麻辣味口香糖,开口哭牌,零食,200克,20,1,20,2019-08-02 16:25:32
98232019080023,700004,麻辣味口香糖,开口哭牌,零食,100克,15,1,15,2019-08-02 18:11:00
98232019080024,700001,猕猴桃味口香糖,开口哭牌,零食,100克,15,1,15,2019-08-02 18:44:51
98232019080025,700007,猕猴桃味薯片,开口哭牌,零食,200克,20,1,20,2019-08-02 19:15:42
98232019080026,700002,榴莲味口香糖,开口哭牌,零食,100克,15,1,15,2019-08-02 20:14:50
98232019080027,700002,榴莲味口香糖,开口哭牌,零食,100克,15,1,15,2019-08-02 21:58:24
98232019080028,700007,猕猴桃味薯片,开口哭牌,零食,200克,20,1,20,2019-08-02 22:15:07
98232019080029,700003,芹菜味口香糖,开口哭牌,零食,100克,15,5,75,2019-08-03 12:19:31
98232019080030,700009,芹菜味薯片,开口哭牌,零食,200克,20,1,20,2019-08-03 12:55:45
98232019080031,700016,夏夜雨可乐,君再来牌,饮料,550毫升,5,1,5,2019-08-03 13:13:04
98232019080032,700010,麻辣味口香糖,开口哭牌,零食,200克,20,2,40,2019-08-03 13:13:42
98232019080033,700011,蟹黄味薯片,开口哭牌,零食,200克,20,2,40,2019-08-03 15:48:51
98232019080034,700017,根本就是酒无糖可乐,君再来牌,饮料,550毫升,5,1,5,2019-08-03 18:24:25
98232019080035,700007,猕猴桃味薯片,开口哭牌,零食,200克,20,1,20,2019-08-03 19:34:01
98232019080036,700017,根本就是酒无糖可乐,君再来牌,饮料,550毫升,5,1,5,2019-08-03 19:58:40
98232019080037,700011,蟹黄味薯片,开口哭牌,零食,200克,20,5,100,2019-08-03 20:58:11
98232019080038,700005,蟹黄味口香糖,开口哭牌,零食,100克,15,1,15,2019-08-03 22:28:51
98232019080039,700004,麻辣味口香糖,开口哭牌,零食,100克,15,1,15,2019-08-03 23:03:49
98232019080040,700014,有点酸可乐,君再来牌,饮料,550毫升,5,5,25,2019-08-03 23:44:55
98232019080041,700002,榴莲味口香糖,开口哭牌,零食,100克,15,1,15,2019-08-04 07:56:13
98232019080042,700015,青草味可乐,君再来牌,饮料,550毫升,5,1,5,2019-08-04 09:48:35
98232019080043,700012,没有一点味薯片,开口哭牌,零食,200克,20,2,40,2019-08-04 10:56:26
98232019080044,700004,麻辣味口香糖,开口哭牌,零食,100克,15,1,15,2019-08-04 12:11:29
98232019080045,700017,根本就是酒无糖可乐,君再来牌,饮料,550毫升,5,1,5,2019-08-04 13:02:22
98232019080046,700006,没有一点味口香糖,开口哭牌,零食,100克,15,1,15,2019-08-04 16:10:44
98232019080047,700014,有点酸可乐,君再来牌,饮料,550毫升,5,1,5,2019-08-04 16:16:57
98232019080048,700001,猕猴桃味口香糖,开口哭牌,零食,100克,15,1,15,2019-08-04 17:43:58
98232019080049,700013,火龙果可乐,君再来牌,饮料,550毫升,5,5,25,2019-08-04 17:52:47
98232019080050,700013,火龙果可乐,君再来牌,饮料,550毫升,5,10,50,2019-08-04 19:02:55
98232019080051,700011,蟹黄味薯片,开口哭牌,零食,200克,20,1,20,2019-08-04 19:10:02
