3515712,34982388,6200,6200,4,2018/1/31 16:06
3515713,17463833,7000,7000,3,2018/1/31 16:14
3515714,70145358,10000,10000,5,2018/1/31 23:52
3515715,46519215,8500,8500,4,2018/2/1 0:05
3515716,37811404,5102,5102,8,2018/2/1 0:51
3515717,49720098,6200,6200,3,2018/2/1 1:26
3515718,39118114,3700,2700,2,2018/2/1 2:08
3515719,58572716,5500,5500,3,2018/2/1 2:09
3515720,17855423,5750,5750,4,2018/2/1 3:03
3515721,57070466,3121,6121,9,2018/2/1 3:23
3515722,51065856,4910,4910,6,2018/2/1 4:05
3515723,70201769,3700,2700,2,2018/2/1 4:49
3515724,68874979,1800,800,2,2018/2/1 4:51
3515725,58396308,4700,3700,2,2018/2/1 5:06
3515726,70430983,4850,4850,3,2018/2/1 5:16
3515727,17306218,8600,8600,3,2018/2/1 5:24
3515728,-1009615,5500,5500,2,2018/2/1 5:24
3515729,52545983,5401,5401,5,2018/2/1 5:34
3515730,23021885,11400,11400,3,2018/2/1 7:02
3515730,23021885,11400,11400,3,2018/2/1 7:02
3515732,69483033,4950,4950,4,2018/2/1 7:47
3515733,63946959,6200,6200,3,2018/2/1 8:11
3515734,47197503,4970,4970,3,2018/2/1 8:11
3515735,16885675,6500,6500,7,2018/2/1 8:14
3515736,55347866,9600,9600,8,2018/2/1 8:43
3515737,9065292,4900,4900,7,2018/2/1 8:59
3515738,16557313,8550,9550,8,2018/2/1 9:12
3515739,28057189,3850,4850,5,2018/2/1 9:11
3515740,64356187,4940,4940,6,2018/2/1 9:20
3515742,70441908,14700,14700,2,2018/2/1 9:34
3515743,69920380,8500,8500,4,2018/2/1 9:43
3515744,60897539,4850,4850,3,2018/2/1 10:07
3515745,54431694,2900,1900,4,2018/2/1 10:15
3515746,62350966,7000,7000,4,2018/2/1 10:22
3515747,55532544,5000,5500,4,2018/2/1 10:56
3515748,67197148,4800,4800,7,2018/2/1 11:25
3515749,69038129,9700,9700,2,2018/2/1 11:27
3515750,70455678,2600,1600,2,2018/2/1 11:38
3515751,3607952,5600,5600,4,2018/2/1 11:47
3515752,8183822,9700,9700,2,2018/2/1 11:53
3515753,17682882,5150,5150,6,2018/2/1 12:12
3515754,67912242,5450,5450,4,2018/2/1 12:24
3515755,65095903,8600,9100,2,2018/2/1 12:35
3515756,33011351,6800,6800,6,2018/2/1 12:36
3515757,27148761,5600,5600,3,2018/2/1 12:36
3515758,59568029,4300,3300,2,2018/2/1 12:55
3515759,31013096,8500,8500,4,2018/2/1 13:21
3515760,52977628,6100,6100,9,2018/2/1 13:22
3515761,58995513,5500,4500,2,2018/2/1 13:23
3515762,42813415,4000,5000,3,2018/2/1 13:39
3515763,54280780,5400,5400,4,2018/2/1 13:40
3515764,48395898,8600,8600,8,2018/2/1 13:45
3515765,70472116,6200,6200,3,2018/2/1 13:46
3515766,70389853,4000,3000,2,2018/2/1 14:10
3515767,27430123,4820,4820,11,2018/2/1 14:10
